Month-year,CPI,Interest Rates,Exchange Rates,Product,Unit of Quantity,Production
18-Jan,4.4,7.11,170.7072,Petroleum,`000'   Litres,"1,341,346"
18-Feb,3.8,7.01,171.7072,Petroleum,`000'   Litres,"1,339,658"
18-Mar,3.2,7,172.7072,Petroleum,`000'   Litres,"1,453,011"
18-Apr,3.7,7.22,173.7072,Petroleum,`000'   Litres,"1,504,087"
18-May,4.2,7.16,174.7072,Petroleum,`000'   Litres,"1,541,881"
18-Jun,5.2,7.45,175.7072,Petroleum,`000'   Litres,"1,388,324"
18-Jul,5.8,7.72,176.7072,Petroleum,`000'   Litres,"1,357,165"
18-Aug,5.8,7.94,177.7072,Petroleum,`000'   Litres,"1,290,484"
18-Sep,5.1,8.12,178.7072,Petroleum,`000'   Litres,"1,287,603"
18-Oct,6.8,8.81,179.7072,Petroleum,`000'   Litres,"1,381,358"
18-Nov,6.5,9.13,180.7072,Petroleum,`000'   Litres,"1,242,683"
18-Dec,6.2,9.73,181.7072,Petroleum,`000'   Litres,"1,056,766"
19-Jan,7.2,10.66,182.7072,Petroleum,`000'   Litres,"1,287,206"
19-Feb,8.2,10.49,183.7072,Petroleum,`000'   Litres,"1,198,491"
19-Mar,9.4,10.67,184.7072,Petroleum,`000'   Litres,"1,312,828"
19-Apr,8.8,11.18,185.7072,Petroleum,`000'   Litres,"1,366,650"
19-May,9.1,11.6,186.7072,Petroleum,`000'   Litres,"1,324,882"
19-Jun,8.9,12.43,187.7072,Petroleum,`000'   Litres,"1,086,459"
19-Jul,10.3,13.26,188.7072,Petroleum,`000'   Litres,"1,017,515"
19-Aug,11.6,13.09,189.7072,Petroleum,`000'   Litres,"1,160,975"
19-Sep,12.6,13.51,190.7072,Petroleum,`000'   Litres,"1,186,893"
19-Oct,11.1,13.67,191.7072,Petroleum,`000'   Litres,"1,219,289"
19-Nov,12.3,13.84,192.7072,Petroleum,`000'   Litres,"1,174,951"
19-Dec,12.4,13.84,193.7072,Petroleum,`000'   Litres,"67,258"
13-Jan,8.1,10.61,110.7072,Jet Fuel Oil,`000'   Litres,87710
13-Feb,7.4,10.53,111.7072,Jet Fuel Oil,`000'   Litres,"74,215"
13-Mar,6.6,10.46,112.7072,Jet Fuel Oil,`000'   Litres,"90,199"
13-Apr,5.8,10.51,113.7072,Jet Fuel Oil,`000'   Litres,"81,973"
13-May,5.1,10.65,114.7072,Jet Fuel Oil,`000'   Litres,"79,789"
13-Jun,5.9,10.56,115.7072,Jet Fuel Oil,`000'   Litres,"84,665"
13-Jul,8.3,10.2,116.7072,Jet Fuel Oil,`000'   Litres,"73,969"
13-Aug,8.5,9.69,117.7072,Jet Fuel Oil,`000'   Litres,"73,878"
13-Sep,7.4,9.7,118.7072,Jet Fuel Oil,`000'   Litres,"70,037"
13-Oct,9.1,10.38,119.7072,Jet Fuel Oil,`000'   Litres,"86,145"
13-Nov,10.9,10,120.7072,Jet Fuel Oil,`000'   Litres,"70,876"
13-Dec,9.2,10.54,121.7072,Jet Fuel Oil,`000'   Litres,"91,057"
14-Jan,7.9,11.02,122.7072,Jet Fuel Oil,`000'   Litres,"87,710"
14-Feb,7.9,10.66,123.7072,Jet Fuel Oil,`000'   Litres,"91,912"
14-Mar,8.5,10.53,124.7072,Jet Fuel Oil,`000'   Litres,"91,623"
14-Apr,9.2,10.81,125.7072,Jet Fuel Oil,`000'   Litres,"85,369"
14-May,8.3,10.59,126.7072,Jet Fuel Oil,`000'   Litres,"89,272"
14-Jun,8.2,10.37,127.7072,Jet Fuel Oil,`000'   Litres,"83,665"
14-Jul,7.9,10.38,128.7072,Jet Fuel Oil,`000'   Litres,"85,311"
14-Aug,7,10.33,129.7072,Jet Fuel Oil,`000'   Litres,"82,883"
14-Sep,7.7,10.3,130.7072,Jet Fuel Oil,`000'   Litres,"88,639"
14-Oct,5.8,10.48,131.7072,Jet Fuel Oil,`000'   Litres,"93,151"
14-Nov,4,10.41,132.7072,Jet Fuel Oil,`000'   Litres,"71,490"
14-Dec,4.3,10.28,133.7072,Jet Fuel Oil,`000'   Litres,"86,471"
15-Jan,3.9,10.35,134.7072,Jet Fuel Oil,`000'   Litres,"75,438"
15-Feb,3.2,9.5,135.7072,Jet Fuel Oil,`000'   Litres,"74,965"
15-Mar,2.5,9.31,136.7072,Jet Fuel Oil,`000'   Litres,"106,019"
15-Apr,2.1,8.85,137.7072,Jet Fuel Oil,`000'   Litres,"89,118"
15-May,3.2,8.61,138.7072,Jet Fuel Oil,`000'   Litres,"91,225"
15-Jun,3.2,8.24,139.7072,Jet Fuel Oil,`000'   Litres,"87,368"
15-Jul,1.9,7.88,140.7072,Jet Fuel Oil,`000'   Litres,"79,807"
15-Aug,1.8,7.78,141.7072,Jet Fuel Oil,`000'   Litres,"89,442"
15-Sep,1.3,7.78,142.7072,Jet Fuel Oil,`000'   Litres,"92,197"
15-Oct,1.6,7.57,143.7072,Jet Fuel Oil,`000'   Litres,"88,841"
15-Nov,2.7,7.32,144.7072,Jet Fuel Oil,`000'   Litres,"88,147"
15-Dec,3.2,7.28,145.7072,Jet Fuel Oil,`000'   Litres,"99,518"
16-Jan,3.3,7.15,146.7072,Jet Fuel Oil,`000'   Litres,"89,930"
16-Feb,4,7.28,147.7072,Jet Fuel Oil,`000'   Litres,"87,751"
16-Mar,3.9,7.13,148.7072,Jet Fuel Oil,`000'   Litres,"101,968"
16-Apr,4.2,6.03,149.7072,Jet Fuel Oil,`000'   Litres,"96,042"
16-May,3.2,7.07,150.7072,Jet Fuel Oil,`000'   Litres,"70,225"
16-Jun,3.2,7.15,151.7072,Jet Fuel Oil,`000'   Litres,"93,354"
16-Jul,4.1,6.95,152.7072,Jet Fuel Oil,`000'   Litres,"95,771"
16-Aug,3.6,6.82,153.7072,Jet Fuel Oil,`000'   Litres,"88,682"
16-Sep,3.9,6.9,154.7072,Jet Fuel Oil,`000'   Litres,"97,442"
16-Oct,4.2,6.96,155.7072,Jet Fuel Oil,`000'   Litres,"103,891"
16-Nov,3.8,6.84,156.7072,Jet Fuel Oil,`000'   Litres,"88,835"
16-Dec,3.7,7,157.7072,Jet Fuel Oil,`000'   Litres,"90,501"
17-Jan,3.7,7.09,158.7072,Jet Fuel Oil,`000'   Litres,"87,485"
17-Feb,4.2,6.95,159.7072,Jet Fuel Oil,`000'   Litres,"99,681"
17-Mar,4.9,6.93,160.7072,Jet Fuel Oil,`000'   Litres,"97,638"
17-Apr,4.8,6.9,161.7072,Jet Fuel Oil,`000'   Litres,"92,595"
17-May,5,6.93,162.7072,Jet Fuel Oil,`000'   Litres,"98,990"
17-Jun,3.9,7.07,163.7072,Jet Fuel Oil,`000'   Litres,"96,825"
17-Jul,2.9,7.03,164.7072,Jet Fuel Oil,`000'   Litres,"83,310"
17-Aug,3.4,6.86,165.7072,Jet Fuel Oil,`000'   Litres,"97,125"
17-Sep,3.9,6.92,166.7072,Jet Fuel Oil,`000'   Litres,"93,744"
17-Oct,3.8,7.01,167.7072,Jet Fuel Oil,`000'   Litres,"95,991"
17-Nov,4,7.07,168.7072,Jet Fuel Oil,`000'   Litres,"80,101"
17-Dec,4.6,7.04,169.7072,Jet Fuel Oil,`000'   Litres,"97,850"
18-Jan,4.4,7.11,170.7072,Jet Fuel Oil,`000'   Litres,"96,756"
18-Feb,3.8,7.01,171.7072,Jet Fuel Oil,`000'   Litres,"94,013"
18-Mar,3.2,7,172.7072,Jet Fuel Oil,`000'   Litres,"108,396"
18-Apr,3.7,7.22,173.7072,Jet Fuel Oil,`000'   Litres,"100,646"
18-May,4.2,7.16,174.7072,Jet Fuel Oil,`000'   Litres,"101,648"
18-Jun,5.2,7.45,175.7072,Jet Fuel Oil,`000'   Litres,"78,566"
18-Jul,5.8,7.72,176.7072,Jet Fuel Oil,`000'   Litres,"77,958"
18-Aug,5.8,7.94,177.7072,Jet Fuel Oil,`000'   Litres,"84,538"
18-Sep,5.1,8.12,178.7072,Jet Fuel Oil,`000'   Litres,"75,221"
18-Oct,6.8,8.81,179.7072,Jet Fuel Oil,`000'   Litres,"96,258"
18-Nov,6.5,9.13,180.7072,Jet Fuel Oil,`000'   Litres,"83,113"
18-Dec,6.2,9.73,181.7072,Jet Fuel Oil,`000'   Litres,"94,490"
19-Jan,7.2,10.66,182.7072,Jet Fuel Oil,`000'   Litres,"110,719"
19-Feb,8.2,10.49,183.7072,Jet Fuel Oil,`000'   Litres,"83,839"
19-Mar,9.4,10.67,184.7072,Jet Fuel Oil,`000'   Litres,"99,906"
19-Apr,8.8,11.18,185.7072,Jet Fuel Oil,`000'   Litres,"62,479"
19-May,9.1,11.6,186.7072,Jet Fuel Oil,`000'   Litres,"77,711"
19-Jun,8.9,12.43,187.7072,Jet Fuel Oil,`000'   Litres,"74,326"
19-Jul,10.3,13.26,188.7072,Jet Fuel Oil,`000'   Litres,"67,451"
19-Aug,11.6,13.09,189.7072,Jet Fuel Oil,`000'   Litres,"87,058"
19-Sep,12.6,13.51,190.7072,Jet Fuel Oil,`000'   Litres,"76,589"
19-Oct,11.1,13.67,191.7072,Jet Fuel Oil,`000'   Litres,"79,134"
19-Nov,12.3,13.84,192.7072,Jet Fuel Oil,`000'   Litres,"89,032"
19-Dec,12.4,13.84,193.7072,Jet Fuel Oil,`000'   Litres,"77,970"
13-Jan,8.1,10.61,110.7072,Kerosene Oil,`000'   Litres,6447
13-Feb,7.4,10.53,111.7072,Kerosene Oil,`000'   Litres,"18,848"
13-Mar,6.6,10.46,112.7072,Kerosene Oil,`000'   Litres,"16,014"
13-Apr,5.8,10.51,113.7072,Kerosene Oil,`000'   Litres,"16,971"
13-May,5.1,10.65,114.7072,Kerosene Oil,`000'   Litres,"12,338"
13-Jun,5.9,10.56,115.7072,Kerosene Oil,`000'   Litres,"11,389"
13-Jul,8.3,10.2,116.7072,Kerosene Oil,`000'   Litres,"18,426"
13-Aug,8.5,9.69,117.7072,Kerosene Oil,`000'   Litres,"17,338"
13-Sep,7.4,9.7,118.7072,Kerosene Oil,`000'   Litres,"16,809"
13-Oct,9.1,10.38,119.7072,Kerosene Oil,`000'   Litres,"15,789"
13-Nov,10.9,10,120.7072,Kerosene Oil,`000'   Litres,"13,110"
13-Dec,9.2,10.54,121.7072,Kerosene Oil,`000'   Litres,"13,059"
14-Jan,7.9,11.02,122.7072,Kerosene Oil,`000'   Litres,"6,447"
14-Feb,7.9,10.66,123.7072,Kerosene Oil,`000'   Litres,"8,094"
14-Mar,8.5,10.53,124.7072,Kerosene Oil,`000'   Litres,"24,148"
14-Apr,9.2,10.81,125.7072,Kerosene Oil,`000'   Litres,"14,765"
14-May,8.3,10.59,126.7072,Kerosene Oil,`000'   Litres,"14,103"
14-Jun,8.2,10.37,127.7072,Kerosene Oil,`000'   Litres,"13,610"
14-Jul,7.9,10.38,128.7072,Kerosene Oil,`000'   Litres,"18,476"
14-Aug,7,10.33,129.7072,Kerosene Oil,`000'   Litres,"19,495"
14-Sep,7.7,10.3,130.7072,Kerosene Oil,`000'   Litres,"17,798"
14-Oct,5.8,10.48,131.7072,Kerosene Oil,`000'   Litres,"18,413"
14-Nov,4,10.41,132.7072,Kerosene Oil,`000'   Litres,"21,984"
14-Dec,4.3,10.28,133.7072,Kerosene Oil,`000'   Litres,"17,248"
15-Jan,3.9,10.35,134.7072,Kerosene Oil,`000'   Litres,"13,303"
15-Feb,3.2,9.5,135.7072,Kerosene Oil,`000'   Litres,"13,931"
15-Mar,2.5,9.31,136.7072,Kerosene Oil,`000'   Litres,"16,010"
15-Apr,2.1,8.85,137.7072,Kerosene Oil,`000'   Litres,"21,748"
15-May,3.2,8.61,138.7072,Kerosene Oil,`000'   Litres,"21,471"
15-Jun,3.2,8.24,139.7072,Kerosene Oil,`000'   Litres,"18,573"
15-Jul,1.9,7.88,140.7072,Kerosene Oil,`000'   Litres,"23,758"
15-Aug,1.8,7.78,141.7072,Kerosene Oil,`000'   Litres,"23,341"
15-Sep,1.3,7.78,142.7072,Kerosene Oil,`000'   Litres,"13,729"
15-Oct,1.6,7.57,143.7072,Kerosene Oil,`000'   Litres,"9,855"
15-Nov,2.7,7.32,144.7072,Kerosene Oil,`000'   Litres,"14,659"
15-Dec,3.2,7.28,145.7072,Kerosene Oil,`000'   Litres,"16,616"
16-Jan,3.3,7.15,146.7072,Kerosene Oil,`000'   Litres,"13,699"
16-Feb,4,7.28,147.7072,Kerosene Oil,`000'   Litres,"11,947"
16-Mar,3.9,7.13,148.7072,Kerosene Oil,`000'   Litres,"11,544"
16-Apr,4.2,6.03,149.7072,Kerosene Oil,`000'   Litres,"14,523"
16-May,3.2,7.07,150.7072,Kerosene Oil,`000'   Litres,"14,895"
16-Jun,3.2,7.15,151.7072,Kerosene Oil,`000'   Litres,"12,383"
16-Jul,4.1,6.95,152.7072,Kerosene Oil,`000'   Litres,"8,879"
16-Aug,3.6,6.82,153.7072,Kerosene Oil,`000'   Litres,"14,527"
16-Sep,3.9,6.9,154.7072,Kerosene Oil,`000'   Litres,"12,692"
16-Oct,4.2,6.96,155.7072,Kerosene Oil,`000'   Litres,"17,156"
16-Nov,3.8,6.84,156.7072,Kerosene Oil,`000'   Litres,"14,013"
16-Dec,3.7,7,157.7072,Kerosene Oil,`000'   Litres,"13,169"
17-Jan,3.7,7.09,158.7072,Kerosene Oil,`000'   Litres,"19,871"
17-Feb,4.2,6.95,159.7072,Kerosene Oil,`000'   Litres,"8,394"
17-Mar,4.9,6.93,160.7072,Kerosene Oil,`000'   Litres,"11,125"
17-Apr,4.8,6.9,161.7072,Kerosene Oil,`000'   Litres,"13,582"
17-May,5,6.93,162.7072,Kerosene Oil,`000'   Litres,"15,306"
17-Jun,3.9,7.07,163.7072,Kerosene Oil,`000'   Litres,"15,220"
17-Jul,2.9,7.03,164.7072,Kerosene Oil,`000'   Litres,"12,826"
17-Aug,3.4,6.86,165.7072,Kerosene Oil,`000'   Litres,"11,508"
17-Sep,3.9,6.92,166.7072,Kerosene Oil,`000'   Litres,"12,552"
17-Oct,3.8,7.01,167.7072,Kerosene Oil,`000'   Litres,"14,563"
17-Nov,4,7.07,168.7072,Kerosene Oil,`000'   Litres,"10,102"
17-Dec,4.6,7.04,169.7072,Kerosene Oil,`000'   Litres,"12,342"
18-Jan,4.4,7.11,170.7072,Kerosene Oil,`000'   Litres,"9,110"
18-Feb,3.8,7.01,171.7072,Kerosene Oil,`000'   Litres,"10,529"
18-Mar,3.2,7,172.7072,Kerosene Oil,`000'   Litres,"11,606"
18-Apr,3.7,7.22,173.7072,Kerosene Oil,`000'   Litres,"9,833"
18-May,4.2,7.16,174.7072,Kerosene Oil,`000'   Litres,"11,891"
18-Jun,5.2,7.45,175.7072,Kerosene Oil,`000'   Litres,"14,740"
18-Jul,5.8,7.72,176.7072,Kerosene Oil,`000'   Litres,"15,557"
18-Aug,5.8,7.94,177.7072,Kerosene Oil,`000'   Litres,"14,465"
18-Sep,5.1,8.12,178.7072,Kerosene Oil,`000'   Litres,"10,595"
18-Oct,6.8,8.81,179.7072,Kerosene Oil,`000'   Litres,"9,604"
18-Nov,6.5,9.13,180.7072,Kerosene Oil,`000'   Litres,"5,663"
18-Dec,6.2,9.73,181.7072,Kerosene Oil,`000'   Litres,"10,514"
19-Jan,7.2,10.66,182.7072,Kerosene Oil,`000'   Litres,"12,269"
19-Feb,8.2,10.49,183.7072,Kerosene Oil,`000'   Litres,"10,297"
19-Mar,9.4,10.67,184.7072,Kerosene Oil,`000'   Litres,"10,648"
19-Apr,8.8,11.18,185.7072,Kerosene Oil,`000'   Litres,"13,042"
19-May,9.1,11.6,186.7072,Kerosene Oil,`000'   Litres,"13,026"
19-Jun,8.9,12.43,187.7072,Kerosene Oil,`000'   Litres,"14,309"
19-Jul,10.3,13.26,188.7072,Kerosene Oil,`000'   Litres,"6,001"
19-Aug,11.6,13.09,189.7072,Kerosene Oil,`000'   Litres,"10,597"
19-Sep,12.6,13.51,190.7072,Kerosene Oil,`000'   Litres,"9,909"
19-Oct,11.1,13.67,191.7072,Kerosene Oil,`000'   Litres,"11,665"
19-Nov,12.3,13.84,192.7072,Kerosene Oil,`000'   Litres,"14,443"
19-Dec,12.4,13.84,193.7072,Kerosene Oil,`000'   Litres,"6,057"
13-Jan,8.1,10.61,110.7072,Motor Spirits,`000'   Litres,168542
13-Feb,7.4,10.53,111.7072,Motor Spirits,`000'   Litres,"157,694"
13-Mar,6.6,10.46,112.7072,Motor Spirits,`000'   Litres,"182,200"
13-Apr,5.8,10.51,113.7072,Motor Spirits,`000'   Litres,"181,490"
13-May,5.1,10.65,114.7072,Motor Spirits,`000'   Litres,"162,839"
13-Jun,5.9,10.56,115.7072,Motor Spirits,`000'   Litres,"182,729"
13-Jul,8.3,10.2,116.7072,Motor Spirits,`000'   Litres,"193,992"
13-Aug,8.5,9.69,117.7072,Motor Spirits,`000'   Litres,"190,194"
13-Sep,7.4,9.7,118.7072,Motor Spirits,`000'   Litres,"173,826"
13-Oct,9.1,10.38,119.7072,Motor Spirits,`000'   Litres,"175,327"
13-Nov,10.9,10,120.7072,Motor Spirits,`000'   Litres,"181,655"
13-Dec,9.2,10.54,121.7072,Motor Spirits,`000'   Litres,"187,470"
14-Jan,7.9,11.02,122.7072,Motor Spirits,`000'   Litres,"168,542"
14-Feb,7.9,10.66,123.7072,Motor Spirits,`000'   Litres,"173,268"
14-Mar,8.5,10.53,124.7072,Motor Spirits,`000'   Litres,"186,569"
14-Apr,9.2,10.81,125.7072,Motor Spirits,`000'   Litres,"178,814"
14-May,8.3,10.59,126.7072,Motor Spirits,`000'   Litres,"185,150"
14-Jun,8.2,10.37,127.7072,Motor Spirits,`000'   Litres,"176,693"
14-Jul,7.9,10.38,128.7072,Motor Spirits,`000'   Litres,"192,238"
14-Aug,7,10.33,129.7072,Motor Spirits,`000'   Litres,"194,583"
14-Sep,7.7,10.3,130.7072,Motor Spirits,`000'   Litres,"171,140"
14-Oct,5.8,10.48,131.7072,Motor Spirits,`000'   Litres,"199,730"
14-Nov,4,10.41,132.7072,Motor Spirits,`000'   Litres,"176,376"
14-Dec,4.3,10.28,133.7072,Motor Spirits,`000'   Litres,"163,166"
15-Jan,3.9,10.35,134.7072,Motor Spirits,`000'   Litres,"179,911"
15-Feb,3.2,9.5,135.7072,Motor Spirits,`000'   Litres,"162,833"
15-Mar,2.5,9.31,136.7072,Motor Spirits,`000'   Litres,"190,592"
15-Apr,2.1,8.85,137.7072,Motor Spirits,`000'   Litres,"186,913"
15-May,3.2,8.61,138.7072,Motor Spirits,`000'   Litres,"192,192"
15-Jun,3.2,8.24,139.7072,Motor Spirits,`000'   Litres,"185,827"
15-Jul,1.9,7.88,140.7072,Motor Spirits,`000'   Litres,"189,988"
15-Aug,1.8,7.78,141.7072,Motor Spirits,`000'   Litres,"194,340"
15-Sep,1.3,7.78,142.7072,Motor Spirits,`000'   Litres,"201,743"
15-Oct,1.6,7.57,143.7072,Motor Spirits,`000'   Litres,"198,946"
15-Nov,2.7,7.32,144.7072,Motor Spirits,`000'   Litres,"193,232"
15-Dec,3.2,7.28,145.7072,Motor Spirits,`000'   Litres,"194,290"
16-Jan,3.3,7.15,146.7072,Motor Spirits,`000'   Litres,"151,133"
16-Feb,4,7.28,147.7072,Motor Spirits,`000'   Litres,"162,245"
16-Mar,3.9,7.13,148.7072,Motor Spirits,`000'   Litres,"179,163"
16-Apr,4.2,6.03,149.7072,Motor Spirits,`000'   Litres,"177,547"
16-May,3.2,7.07,150.7072,Motor Spirits,`000'   Litres,"177,155"
16-Jun,3.2,7.15,151.7072,Motor Spirits,`000'   Litres,"225,000"
16-Jul,4.1,6.95,152.7072,Motor Spirits,`000'   Litres,"206,863"
16-Aug,3.6,6.82,153.7072,Motor Spirits,`000'   Litres,"187,747"
16-Sep,3.9,6.9,154.7072,Motor Spirits,`000'   Litres,"203,790"
16-Oct,4.2,6.96,155.7072,Motor Spirits,`000'   Litres,"211,330"
16-Nov,3.8,6.84,156.7072,Motor Spirits,`000'   Litres,"202,689"
16-Dec,3.7,7,157.7072,Motor Spirits,`000'   Litres,"219,242"
17-Jan,3.7,7.09,158.7072,Motor Spirits,`000'   Litres,"206,594"
17-Feb,4.2,6.95,159.7072,Motor Spirits,`000'   Litres,"195,017"
17-Mar,4.9,6.93,160.7072,Motor Spirits,`000'   Litres,"196,589"
17-Apr,4.8,6.9,161.7072,Motor Spirits,`000'   Litres,"226,775"
17-May,5,6.93,162.7072,Motor Spirits,`000'   Litres,"236,322"
17-Jun,3.9,7.07,163.7072,Motor Spirits,`000'   Litres,"195,946"
17-Jul,2.9,7.03,164.7072,Motor Spirits,`000'   Litres,"237,000"
17-Aug,3.4,6.86,165.7072,Motor Spirits,`000'   Litres,"227,532"
17-Sep,3.9,6.92,166.7072,Motor Spirits,`000'   Litres,"231,287"
17-Oct,3.8,7.01,167.7072,Motor Spirits,`000'   Litres,"235,875"
17-Nov,4,7.07,168.7072,Motor Spirits,`000'   Litres,"214,306"
17-Dec,4.6,7.04,169.7072,Motor Spirits,`000'   Litres,"228,671"
18-Jan,4.4,7.11,170.7072,Motor Spirits,`000'   Litres,"234,595"
18-Feb,3.8,7.01,171.7072,Motor Spirits,`000'   Litres,"278,731"
18-Mar,3.2,7,172.7072,Motor Spirits,`000'   Litres,"283,057"
18-Apr,3.7,7.22,173.7072,Motor Spirits,`000'   Litres,"268,276"
18-May,4.2,7.16,174.7072,Motor Spirits,`000'   Litres,"273,393"
18-Jun,5.2,7.45,175.7072,Motor Spirits,`000'   Litres,"275,714"
18-Jul,5.8,7.72,176.7072,Motor Spirits,`000'   Litres,"279,045"
18-Aug,5.8,7.94,177.7072,Motor Spirits,`000'   Litres,"269,232"
18-Sep,5.1,8.12,178.7072,Motor Spirits,`000'   Litres,"270,194"
18-Oct,6.8,8.81,179.7072,Motor Spirits,`000'   Litres,"276,716"
18-Nov,6.5,9.13,180.7072,Motor Spirits,`000'   Litres,"258,226"
18-Dec,6.2,9.73,181.7072,Motor Spirits,`000'   Litres,"201,500"
19-Jan,7.2,10.66,182.7072,Motor Spirits,`000'   Litres,"254,368"
19-Feb,8.2,10.49,183.7072,Motor Spirits,`000'   Litres,"248,606"
19-Mar,9.4,10.67,184.7072,Motor Spirits,`000'   Litres,"279,678"
19-Apr,8.8,11.18,185.7072,Motor Spirits,`000'   Litres,"272,272"
19-May,9.1,11.6,186.7072,Motor Spirits,`000'   Litres,"263,559"
19-Jun,8.9,12.43,187.7072,Motor Spirits,`000'   Litres,"211,223"
19-Jul,10.3,13.26,188.7072,Motor Spirits,`000'   Litres,"192,343"
19-Aug,11.6,13.09,189.7072,Motor Spirits,`000'   Litres,"242,163"
19-Sep,12.6,13.51,190.7072,Motor Spirits,`000'   Litres,"258,667"
19-Oct,11.1,13.67,191.7072,Motor Spirits,`000'   Litres,"241,252"
